trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
39,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.8126564568428579,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
39,CoSaMP,256,128,55,0.01,gaussian,0.5504798147375211,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
40,CorrelationTopK,256,128,55,0.01,gaussian,0.6633992055667298,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
40,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6653388512495922,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
40,OMP,256,128,55,0.01,gaussian,0.6079761987934299,0.509090909090909,0.509090909090909,0.509090909090909,0
40,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.4437822603466446,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
40,CoSaMP,256,128,55,0.01,gaussian,0.40183589227377525,0.6,0.6,0.6,0
41,CorrelationTopK,256,128,55,0.01,gaussian,0.7883389475223597,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
41,LearnedSupportMLP,256,128,55,0.01,gaussian,0.8033260428109477,0.4,0.4,0.4000000000000001,0
41,OMP,256,128,55,0.01,gaussian,0.9084440267897218,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
41,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.8879850138709127,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
41,CoSaMP,256,128,55,0.01,gaussian,0.764118761627609,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
42,CorrelationTopK,256,128,55,0.01,gaussian,0.6967275277361396,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
42,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5461933521719778,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
42,OMP,256,128,55,0.01,gaussian,0.027774203813905465,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
42,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.027756250445264107,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
42,CoSaMP,256,128,55,0.01,gaussian,0.3476217937718913,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
43,CorrelationTopK,256,128,55,0.01,gaussian,0.6733902273840249,0.32727272727272727,0.32727272727272727,0.32727272727272727,0
43,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6328993947538409,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
43,OMP,256,128,55,0.01,gaussian,0.022425194852914793,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
43,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.022415955324123386,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
